date,country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id,sni_covid19_vaccination,sni_vaccination_intent,sni_safety_side_effects
2021-01-04,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,53.694,19.203,8.406
2021-01-11,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,68.252,28.211,8.266
2021-01-18,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,60.840,25.219,7.378
2021-01-25,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,61.072,24.518,7.711
2021-02-01,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,56.989,23.223,7.750
2021-02-08,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,66.057,30.287,10.835
2021-02-15,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,62.342,28.564,11.488
2021-02-22,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,70.689,32.243,12.336
2021-03-01,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,87.899,43.236,14.896
2021-03-08,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,100.000,48.223,17.290
2021-03-15,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,93.347,42.402,17.673
2021-03-22,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,93.006,41.237,18.349
2021-03-29,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,99.096,43.053,21.152
2021-04-05,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,95.537,33.291,23.391
2021-04-12,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,72.037,18.095,21.906
2021-04-19,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,55.185,13.297,20.327
2021-04-26,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,62.795,23.396,17.461
2021-05-03,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,44.188,8.522,14.941
2021-05-10,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,51.568,11.948,13.811
2021-05-17,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,42.864,9.565,11.954
2021-05-24,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,34.189,7.476,9.023
2021-05-31,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,29.344,6.958,6.756
2021-06-07,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,28.595,6.438,7.375
2021-06-14,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,26.997,6.523,5.921
2021-06-21,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,26.537,5.575,5.325
2021-06-28,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,24.148,5.327,4.421
2021-07-05,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,26.058,5.131,4.406
2021-07-12,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,28.078,5.212,4.941
2021-07-19,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,37.589,6.367,6.294
2021-07-26,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,47.477,8.006,7.322
2021-08-02,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,69.349,13.204,8.837
2021-08-09,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,55.890,8.703,8.833
2021-08-16,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,54.604,8.483,8.767
2021-08-23,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,55.674,7.926,8.748
2021-08-30,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,56.307,22.808,8.086
2021-09-06,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,41.003,6.258,7.778
2021-09-13,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,37.210,5.873,7.688
2021-09-20,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,33.753,5.899,6.407
2021-09-27,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,35.467,5.991,5.386
2021-10-04,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,30.802,4.694,4.372
2021-10-11,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,29.877,4.333,3.670
2021-10-18,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,33.423,5.567,3.488
2021-10-25,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,34.263,5.727,3.613
2021-11-01,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,43.786,7.621,3.923
2021-11-08,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,44.686,7.501,4.229
2021-11-15,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,46.457,8.683,4.335
2021-11-22,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,36.846,6.947,3.569
2021-11-29,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,46.080,9.815,4.223
2021-12-06,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,37.618,7.585,3.780
2021-12-13,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,43.566,8.492,3.955
2021-12-20,United States,US,,,,,,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,48.483,8.832,3.825
2021-01-04,United Kingdom,GB,,,,,,,ChIJqZHHQhE7WgIReiWIMkOg-MQ,67.078,8.562,8.871
2021-01-11,United Kingdom,GB,,,,,,,ChIJqZHHQhE7WgIReiWIMkOg-MQ,60.296,9.536,8.327
2021-01-18,United Kingdom,GB,,,,,,,ChIJqZHHQhE7WgIReiWIMkOg-MQ,54.432,8.003,7.847
2021-01-25,United Kingdom,GB,,,,,,,ChIJqZHHQhE7WgIReiWIMkOg-MQ,60.479,7.677,7.040
2021-02-01,United Kingdom,GB,,,,,,,ChIJqZHHQhE7WgIReiWIMkOg-MQ,58.335,6.495,7.443
2021-02-08,United Kingdom,GB,,,,,,,ChIJqZHHQhE7WgIReiWIMkOg-MQ,62.907,8.951,10.301
